user_embedW24 2 6934303379857238 -0.109387,0.120454,0.0295359,-0.0165906,-0.0909953,0.0470288,0.112112,0.0270311,-0.125818,0.0186917,0.117082,-0.0966372,0.0802395,0.00912028,-0.136267,-0.122419,0.142092,-0.143896,0.121325,0.121792,0.124158,-0.110793,0.11838,-0.151558,0.0620448,-0.0286932,0.049032,0.0938266,0.0249651,-0.123438,0.0129893,-0.104353
user_embedW24 2 6986567880012877 -0.0476821,0.0751718,-0.111582,0.0215681,-0.0383761,-0.022272,0.1205,-0.0913198,-0.146029,-0.0894609,-0.016912,0.0363158,0.0696615,0.118648,0.132457,0.0929667,0.117036,-0.0768752,0.0580912,0.143345,0.142154,-0.110705,-0.16004,0.0243532,0.0788856,0.115084,-0.0719169,-0.137938,0.0585223,-0.0774278,-0.105792,-0.0572011
user_embedW24 2 6963892536712174 -0.0429709,0.0444886,-0.0516843,-0.0386033,0.107589,0.0766368,-0.105537,-0.14222,-0.147749,-0.0111833,-0.0402365,-0.156045,0.118849,0.0173934,0.0275381,0.145316,0.0128293,-0.0823324,0.0808535,-0.148538,-0.0897589,-0.0840421,-0.000770949,-0.0820581,-0.108823,-0.0828515,-0.00192183,0.0187799,-0.124086,-0.0675793,0.112654,0.134356
user_embedW24 2 6966789034806212 0.0545758,-0.0936125,0.146452,-0.0986357,0.0899933,0.0952778,0.062196,-0.071011,-0.0986683,-0.14778,0.00934584,0.126269,0.00963415,0.150792,-0.124834,0.0496998,-0.147225,0.107265,-0.144427,-0.0176702,0.106024,-0.129135,-0.129355,0.113583,0.0712756,-0.0743178,0.0485401,0.13776,-0.073484,0.0967855,-0.123802,0.0542285
user_embedW24 2 7017443160761025 -0.0097226,0.119265,0.0503038,0.158185,0.115859,0.0311851,0.119128,-0.109899,0.0014163,0.130964,-0.0813417,0.00757823,-0.0491144,-0.0190076,-0.0542038,0.0869619,-0.103727,0.155737,0.0347907,0.0585636,-0.0398261,0.0109047,0.00511014,0.0783422,-0.062125,-0.0542319,0.0363787,0.120201,-0.0431163,-0.10296,0.122831,-0.147855
user_embedW24 2 6923308450345551 -0.0265876,-0.0441134,-0.0757809,-0.0889117,-0.0504586,-0.0858512,0.0719323,-0.137145,-0.019338,0.125458,-0.132475,0.0428191,0.093856,-0.103457,-0.101149,-0.0381152,-0.15397,-0.139344,-0.0106714,0.0946629,-0.139029,0.0205089,-0.149424,0.0415977,0.151555,0.148862,0.0252224,0.0177798,-0.0260083,0.103603,0.0428342,-0.154002
user_embedW24 2 7002455113228142 0.0855009,-0.135385,0.124409,-0.0461935,0.0959315,0.0938968,-0.152584,0.101257,-0.0412168,0.120157,0.150279,-0.114852,-0.0027253,-0.0474329,-0.143529,0.013367,-0.0866041,-0.141015,-0.0106659,-0.0654,0.0658712,0.0591445,-0.00709714,0.0672649,-0.052104,-0.135864,0.00235845,-0.0595473,-0.13179,0.146939,-0.0455898,0.0859912
user_embedW24 2 6876845885084075 -0.0381202,-0.152997,-0.0351796,-0.155986,-0.0761423,-0.100092,0.130805,-0.0671955,0.0188177,-0.0451637,0.153,-0.0399238,-0.0741687,0.0570355,-0.0655125,-0.0881622,0.054649,-0.154153,0.0992878,-0.0127663,-0.130092,0.0729049,0.113044,-0.00924706,-0.0549396,-0.143037,0.0832645,0.0165983,-0.120853,0.0452006,-0.0492461,-0.105535
user_embedW24 2 6832098384963412 0.0502425,0.022521,0.0180263,0.00679115,-0.0541475,0.0249285,0.00855968,0.152627,-0.038146,0.0755357,-0.0526255,-0.113141,0.044847,0.00272727,0.0544944,0.0573221,0.0246211,-0.0647563,0.0823068,-0.13066,0.0888835,0.0200182,-0.122076,0.150212,-0.0247288,0.136986,-0.0246599,-0.0978013,0.0390187,0.0978585,-0.158366,0.116786
user_embedW24 2 6784959877719460 0.15271,0.142004,0.036187,-0.0960407,-0.12575,0.143172,0.15069,0.110783,-0.0198603,0.149066,-0.0732693,0.141657,-0.047662,0.12803,-0.161774,-0.0951648,-0.0904471,0.13655,-0.163369,-0.154788,0.0595784,-0.00676431,0.103394,0.0303022,-0.0748691,0.153653,0.13195,-0.0117216,0.11521,-0.00736304,-0.0175751,-0.124682
user_embedW31 2 8905783117667008 0.241189,-0.0460828,0.0160643,-0.152683,0.122668,0.0188594,-0.17259,-0.0599784,-0.0705109,-0.0689689,-0.0769401,-0.043222,0.237723,0.118999,0.142382,-0.18649,-0.0223647,0.0678834,-0.195722,-0.146802,0.123167,0.177604,-0.256918,-0.237502,0.00198531,-0.103496,0.0940372,0.248336,-0.0750232,-0.148186,0.12012,-0.119043
user_embedW31 2 8838794061833251 -0.0955688,-0.0227932,-0.098105,0.038575,-0.105086,-0.141473,0.183018,0.0342825,-0.0431596,-0.218898,0.164631,-0.136525,0.000417222,-0.0865032,0.0972319,0.100631,0.224949,0.0772319,0.187931,0.174059,0.1455,0.11904,-0.226003,-0.255048,-0.178622,-0.221799,-0.200688,0.237239,-0.070662,-0.135553,-0.148946,0.209486
user_embedW31 2 8796691602929840 -0.225884,0.0360538,-0.11768,-0.171939,0.227652,0.0121334,-0.0457892,0.147903,-0.163645,0.20612,-0.0843372,-0.216373,0.0733869,0.220779,0.137363,-0.196136,0.184177,-0.139063,-0.167854,0.0534092,-0.0153162,-0.108524,-0.242219,-0.191494,-0.0111766,0.124265,-0.190628,-0.176861,0.0197746,0.0481637,-0.248948,0.239534
user_embedW31 2 8937688699333889 0.0843,-0.0727812,0.108613,0.146921,0.23061,-0.045612,0.0819629,-0.17159,-0.0842519,-0.0321717,-0.222867,0.146808,0.130151,-0.162482,-0.0475664,-0.234803,0.100281,0.00254777,-0.0166359,0.110089,0.0198108,-0.0179146,-0.00881678,-0.0475003,0.0105163,-0.020761,-0.256878,-0.246578,-0.0197713,0.046555,-0.225554,-0.166421
user_embedW31 2 8944024995595481 -0.101161,0.0406669,-0.133759,-0.0638603,-0.143613,0.0558026,0.216395,0.162863,-0.0107851,-0.0668964,-0.0310958,0.176931,0.218137,-0.229059,0.0458582,0.120957,0.207388,-0.014811,0.137816,0.16806,0.10574,0.20154,-0.164842,0.248851,0.25379,0.0337912,-0.13448,-0.142755,-0.153808,0.193845,-0.024024,-0.00092085
